date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20250818,10.81,10.99,10.8,10.93,116743.01,42.255553491110916,-0.1889728153363226,0.14178727630377824,-0.33076009164010084,12.393,14.837500594783062,9.948499405216939,0.39449698939450684,0.20075687379208113,0.25,0.5758546491090055,5.268569525242502
20250819,11.08,11.08,10.83,10.9,81638.62,41.97033279520963,-0.23804188519785185,0.06582144400345223,-0.3038633292013041,12.358500000000001,14.86929584782867,9.847704152171332,0.40632695680360387,0.20955424327682629,0.25,0.5525793170297909,5.069535018621934
20250820,10.92,10.97,10.6,10.8,143991.0,40.97743300710512,-0.28175079309280626,-0.003693003415799467,-0.2780577896770068,12.320500000000001,14.904128415518318,9.736871584481683,0.41940317609160627,0.2057432889986691,0.370000000000001,0.5395379372419488,4.995721641129155
20250821,10.81,10.95,10.76,10.91,100013.15,42.586428895618674,-0.30400989992682703,-0.06375638271800498,-0.24025351720882204,12.278500000000001,14.927656966202449,9.629343033797554,0.43151149834303004,0.24171028416603443,0.1899999999999995,0.5145709417246667,4.716507256871372
20250822,10.91,10.91,10.75,10.88,92128.53,42.24816322435132,-0.3203780332021786,-0.11508071281483971,-0.2052973203873389,12.196000000000002,14.914051933975783,9.47794806602422,0.4457284247254478,0.2579148537322012,0.16000000000000014,0.4892444458871905,4.496732039404324
20250825,11.51,11.97,11.51,11.97,263731.66,55.94142896013543,-0.24259947057515063,-0.14058446436690192,-0.10201500620824872,12.105500000000001,14.720046151619318,9.490953848380684,0.43196004322321535,0.47408728090034313,1.0899999999999999,0.5321555568952483,4.445744000795725
20250826,12.04,12.38,11.8,12.3,457963.83,59.10301261590708,-0.15257239762719088,-0.14298205101895972,-0.00959034660823116,12.0305,14.523618740178975,9.537381259821025,0.4144663547116038,0.5540487694502376,0.5800000000000001,0.5355730171170163,4.35425217168306
20250827,12.2,12.2,11.59,11.6,234238.19,50.779091096549934,-0.13614010517363617,-0.14161366184989502,0.005473556676258845,11.958000000000002,14.410286580659822,9.505713419340182,0.41014995495230294,0.4270068998412743,0.7100000000000009,0.5480320873229438,4.724414545887447
20250828,11.46,11.66,10.84,11.24,187476.1,47.10480701348457,-0.15043229649722,-0.14337738877936002,-0.007054907717859993,11.833499999999999,14.156413551646093,9.510586448353905,0.39259957774894905,0.3722509497653443,0.8200000000000003,0.5674583667998765,5.048561982205307
20250829,11.33,11.75,11.07,11.68,172944.01,51.70450472935949,-0.12481583902712678,-0.13966507882891338,0.014849239801786596,11.727,13.855543856106433,9.598456143893568,0.36301592156671486,0.4889595885315763,0.6799999999999997,0.5754970548855995,4.927200812376709
20250901,11.55,11.62,11.4,11.44,110134.03,49.19175821300575,-0.12246886136221313,-0.13622583533557334,0.013756973973360204,11.613,13.52535429441525,9.70064570558475,0.32934716170072337,0.4547677957726711,0.27999999999999936,0.554390122393771,4.846067503442054
20250902,11.4,11.4,10.95,11.13,107427.01,46.076897295012316,-0.14396374938699985,-0.13777341814585864,-0.0061903312411412115,11.483,13.12359167760647,9.842408322393531,0.2857426940009526,0.392416862520293,0.4900000000000002,0.549790827937073,4.93971992755681
20250903,11.11,11.22,10.8,10.82,73430.0,43.13542299129968,-0.18389320582366153,-0.1469973756814192,-0.03689583014224232,11.316500000000001,12.398122076230653,10.23487792376935,0.19115841050336257,0.27048360471235217,0.41999999999999993,0.5405200545129963,4.995564274611796
20250904,10.82,10.88,10.3,10.44,114841.41,39.78280679654781,-0.24339470923331064,-0.16627684239179752,-0.07711786684151312,11.2015,12.123106720553,10.279893279446998,0.164550590644646,0.08686282173427005,0.5800000000000001,0.5433400506192109,5.204406615126541
20250905,10.48,10.63,10.32,10.6,74146.11,41.83278442556234,-0.2744754345914888,-0.1879165608317358,-0.08655887375975302,11.1575,12.106735149170683,10.208264850829318,0.1701519424908237,0.20634252193090857,0.3100000000000005,0.5266729041464101,4.96861230326802
