date,close,ma_5,ma_15,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown
20250825,11.97,11.092000000000002,11.6,0,0,0.0,0.0,100000.0,0.10018382352941169,0.1011959521619128,110119.59521619129,0.0
20250826,12.3,11.372,11.504666666666667,0,0,0.0,0.0,100000.0,0.027568922305764465,0.13155473781048688,113155.47378104868,0.0
20250827,11.6,11.532,11.334666666666667,1,1,-0.0,0.0,100000.0,-0.056910569105691144,0.06715731370745104,106715.73137074511,0.0
20250828,11.24,11.597999999999999,11.234666666666666,0,1,-0.03103448275862064,-0.03103448275862064,96896.55172413794,-0.03103448275862064,0.03403863845446131,103403.86384544613,-0.031034482758620578
20250829,11.68,11.758000000000001,11.248,0,1,0.039145907473309594,0.006896551724137945,100689.6551724138,0.039145907473309594,0.07451701931922661,107451.70193192267,0.0
20250901,11.44,11.652000000000001,11.242666666666667,0,1,-0.020547945205479423,-0.013793103448275779,98620.68965517242,-0.020547945205479423,0.05243790248390012,105243.79024839001,-0.020547945205479427
20250902,11.13,11.418000000000001,11.231333333333334,0,1,-0.02709790209790197,-0.04051724137931012,95948.27586206899,-0.02709790209790197,0.0239190432382701,102391.90432382701,-0.04708904109589025
20250903,10.82,11.262,11.211333333333334,0,1,-0.02785265049415997,-0.06724137931034468,93275.86206896554,-0.02785265049415997,-0.004599816007360147,99540.01839926398,-0.07363013698630122
20250904,10.44,11.102,11.185333333333334,-1,0,-0.03512014787430695,-0.09999999999999998,90000.0,-0.03512014787430695,-0.03955841766329404,96044.15823367059,-0.10616438356164387
20250905,10.6,10.886,11.176,0,0,0.0,-0.09999999999999998,90000.0,0.015325670498084198,-0.024839006439743128,97516.09935602569,-0.10616438356164387
20250908,10.77,10.751999999999999,11.165333333333335,0,0,0.0,-0.09999999999999998,90000.0,0.016037735849056656,-0.009199632014720072,99080.03679852799,-0.10616438356164387
20250909,10.98,10.722,11.170666666666667,0,0,0.0,-0.09999999999999998,90000.0,0.019498607242339983,0.010119595216190769,101011.95952161908,-0.10616438356164387
20250910,10.96,10.75,11.181333333333333,0,0,-0.0,-0.09999999999999998,90000.0,-0.0018214936247722413,0.008279668813246932,100827.9668813247,-0.10616438356164387
20250911,11.0,10.862,11.187333333333333,0,0,0.0,-0.09999999999999998,90000.0,0.0036496350364962904,0.011959521619134605,101195.95216191346,-0.10616438356164387
20250912,10.86,10.914000000000001,11.186,0,0,-0.0,-0.09999999999999998,90000.0,-0.01272727272727281,-0.0009199632014726955,99908.00367985273,-0.10616438356164387
20250915,10.71,10.902000000000001,11.102,0,0,-0.0,-0.09999999999999998,90000.0,-0.013812154696132506,-0.014719411223551693,98528.05887764483,-0.10616438356164387
20250916,10.98,10.902,11.014000000000001,0,0,0.0,-0.09999999999999998,90000.0,0.025210084033613356,0.010119595216190547,101011.95952161905,-0.10616438356164387
20250917,10.92,10.894,10.968666666666667,0,0,-0.0,-0.09999999999999998,90000.0,-0.005464480874316946,0.004599816007358815,100459.98160073587,-0.10616438356164387
20250918,10.7,10.834,10.932666666666668,0,0,-0.0,-0.09999999999999998,90000.0,-0.020146520146520186,-0.015639374425023944,98436.0625574976,-0.10616438356164387
20250919,10.63,10.788,10.862666666666666,0,0,-0.0,-0.09999999999999998,90000.0,-0.0065420560747662115,-0.022079116835327373,97792.08831646726,-0.10616438356164387
20250922,10.44,10.734,10.796,0,0,-0.0,-0.09999999999999998,90000.0,-0.01787394167450629,-0.039558417663294376,96044.15823367056,-0.10616438356164387
20250923,10.19,10.575999999999999,10.733333333333333,0,0,-0.0,-0.09999999999999998,90000.0,-0.023946360153256685,-0.06255749770009289,93744.2502299907,-0.10616438356164387
20250924,10.58,10.508,10.717333333333332,0,0,0.0,-0.09999999999999998,90000.0,0.03827281648675185,-0.026678932842687075,97332.1067157313,-0.10616438356164387
20250925,10.47,10.462,10.719333333333333,0,0,-0.0,-0.09999999999999998,90000.0,-0.010396975425330801,-0.0367985280588784,96320.14719411216,-0.10616438356164387
20250926,10.47,10.43,10.710666666666667,0,0,0.0,-0.09999999999999998,90000.0,0.0,-0.0367985280588784,96320.14719411216,-0.10616438356164387
20250929,10.52,10.446000000000002,10.693999999999999,0,0,0.0,-0.09999999999999998,90000.0,0.0047755491881564804,-0.03219871205151881,96780.12879484812,-0.10616438356164387
20250930,10.62,10.532,10.67,0,0,0.0,-0.09999999999999998,90000.0,0.009505703422053147,-0.022999080036799513,97700.09199632004,-0.10616438356164387
20251009,10.51,10.517999999999999,10.639999999999999,0,0,-0.0,-0.09999999999999998,90000.0,-0.010357815442561202,-0.03311867525299084,96688.13247470092,-0.10616438356164387
20251010,10.69,10.562000000000001,10.619333333333334,0,0,0.0,-0.09999999999999998,90000.0,0.01712654614652709,-0.016559337626495974,98344.0662373504,-0.10616438356164387
20251013,10.61,10.59,10.602666666666666,0,0,-0.0,-0.09999999999999998,90000.0,-0.007483629560336769,-0.023919043238271542,97608.09567617284,-0.10616438356164387
20251014,10.55,10.596,10.592,1,1,-0.0,-0.09999999999999998,90000.0,-0.005655042412818001,-0.029438822447103052,97056.1177552897,-0.10616438356164387
20251015,11.0,10.672,10.593333333333334,0,1,0.04265402843601884,-0.06161137440758302,93838.8625592417,0.04265402843601884,0.011959521619134161,101195.95216191342,-0.06803869376095582
20251016,10.76,10.722,10.582666666666665,0,1,-0.021818181818181848,-0.0820853080568722,91791.46919431278,-0.021818181818181848,-0.010119595216192434,98988.04047838076,-0.08837239498798952
20251017,10.64,10.712,10.578666666666667,0,1,-0.011152416356877248,-0.09232227488151667,90767.77251184834,-0.011152416356877248,-0.021159153633855676,97884.08463661443,-0.09853924560150629
20251020,10.71,10.732000000000001,10.584000000000001,0,1,0.006578947368421018,-0.08635071090047408,91364.92890995259,0.006578947368421018,-0.014719411223552137,98528.05887764478,-0.09260858274362155
20251021,10.9,10.802000000000001,10.614666666666666,0,1,0.017740429505135324,-0.0701421800947869,92985.78199052131,0.017740429505135324,0.002759889604414756,100275.98896044148,-0.0765110692722199
20251022,10.94,10.790000000000001,10.664666666666667,0,1,0.003669724770642091,-0.06672985781990548,93327.01421800946,0.003669724770642091,0.006439742410302429,100643.97424103024,-0.07312211906771435
20251023,11.06,10.85,10.696666666666665,0,1,0.010968921389396868,-0.05649289099526078,94350.71090047392,0.010968921389396868,0.017479300827965893,101747.93008279659,-0.06295526845419742
20251024,11.21,10.964000000000002,10.746,0,1,0.013562386980108476,-0.04369668246445513,95630.33175355449,0.013562386980108476,0.031278748850045,103127.8748850045,-0.050246705187301316
