date,close,high,low,upper_channel,lower_channel_exit,atr,atr_pct,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown,benchmark_drawdown
20250820,10.8,10.97,10.6,15.48,10.67,0.7065,6.541666666666666,0,0,-0.0,0.0,100000.0,-0.00917431192660545,-0.006439742410304206,99356.02575896958,0.0,-0.23674911660777412
20250821,10.91,10.95,10.76,15.48,10.6,0.7015,6.429880843263061,0,0,0.0,0.0,100000.0,0.010185185185185075,0.0036798528058870072,100367.9852805887,0.0,-0.2289752650176682
20250822,10.88,10.91,10.75,15.48,10.6,0.6605000000000001,6.07077205882353,0,0,-0.0,0.0,100000.0,-0.00274977085242889,0.0009199632014713632,100091.99632014714,0.0,-0.23109540636042425
20250825,11.97,11.97,11.51,15.48,10.6,0.6525000000000001,5.451127819548873,0,0,0.0,0.0,100000.0,0.10018382352941169,0.1011959521619128,110119.59521619129,0.0,-0.15406360424028298
20250826,12.3,12.38,11.8,15.48,10.6,0.6075,4.939024390243903,0,0,0.0,0.0,100000.0,0.027568922305764465,0.13155473781048688,113155.47378104868,0.0,-0.130742049469965
20250827,11.6,12.2,11.59,15.48,10.6,0.6015,5.185344827586207,0,0,-0.0,0.0,100000.0,-0.056910569105691144,0.06715731370745104,106715.73137074511,0.0,-0.18021201413427587
20250828,11.24,11.66,10.84,15.48,10.6,0.6010000000000001,5.346975088967972,0,0,-0.0,0.0,100000.0,-0.03103448275862064,0.03403863845446131,103403.86384544613,0.0,-0.20565371024735002
20250829,11.68,11.75,11.07,15.48,10.6,0.6135,5.252568493150686,0,0,0.0,0.0,100000.0,0.039145907473309594,0.07451701931922661,107451.70193192267,0.0,-0.17455830388692603
20250901,11.44,11.62,11.4,15.48,10.6,0.5955,5.205419580419581,0,0,-0.0,0.0,100000.0,-0.020547945205479423,0.05243790248390012,105243.79024839001,0.0,-0.19151943462897547
20250902,11.13,11.4,10.95,15.48,10.6,0.5965,5.359389038634321,0,0,-0.0,0.0,100000.0,-0.02709790209790197,0.0239190432382701,102391.90432382701,0.0,-0.21342756183745593
20250903,10.82,11.22,10.8,15.48,10.6,0.5940000000000001,5.489833641404807,0,0,-0.0,0.0,100000.0,-0.02785265049415997,-0.004599816007360147,99540.01839926398,0.0,-0.2353356890459366
20250904,10.44,10.88,10.3,15.48,10.75,0.48600000000000004,4.655172413793104,0,0,-0.0,0.0,100000.0,-0.03512014787430695,-0.03955841766329404,96044.15823367059,0.0,-0.2621908127208484
20250905,10.6,10.63,10.32,12.38,10.3,0.43800000000000006,4.132075471698114,0,0,0.0,0.0,100000.0,0.015325670498084198,-0.024839006439743128,97516.09935602569,0.0,-0.25088339222614875
20250908,10.77,10.79,10.61,12.38,10.3,0.42750000000000005,3.9693593314763236,0,0,0.0,0.0,100000.0,0.016037735849056656,-0.009199632014720072,99080.03679852799,0.0,-0.2388692579505304
20250909,10.98,11.08,10.72,12.38,10.3,0.4255,3.8752276867030964,0,0,0.0,0.0,100000.0,0.019498607242339983,0.010119595216190769,101011.95952161908,0.0,-0.224028268551237
20250910,10.96,11.11,10.88,12.38,10.3,0.42449999999999993,3.873175182481751,0,0,-0.0,0.0,100000.0,-0.0018214936247722413,0.008279668813246932,100827.9668813247,0.0,-0.2254416961130744
20250911,11.0,11.02,10.75,12.38,10.3,0.4225,3.840909090909091,0,0,0.0,0.0,100000.0,0.0036496350364962904,0.011959521619134605,101195.95216191346,0.0,-0.22261484098939957
20250912,10.86,11.06,10.84,12.38,10.3,0.4225,3.8904235727440146,0,0,-0.0,0.0,100000.0,-0.01272727272727281,-0.0009199632014726955,99908.00367985273,0.0,-0.2325088339222619
20250915,10.71,10.85,10.64,12.38,10.3,0.42099999999999993,3.9309056956115773,0,0,-0.0,0.0,100000.0,-0.013812154696132506,-0.014719411223551693,98528.05887764483,0.0,-0.24310954063604273
20250916,10.98,11.02,10.7,12.38,10.3,0.42449999999999993,3.8661202185792347,0,0,0.0,0.0,100000.0,0.025210084033613356,0.010119595216190547,101011.95952161905,0.0,-0.22402826855123723
20250917,10.92,11.05,10.88,12.38,10.3,0.41449999999999987,3.7957875457875447,0,0,-0.0,0.0,100000.0,-0.005464480874316946,0.004599816007358815,100459.98160073587,0.0,-0.22826855123674966
20250918,10.7,10.97,10.65,12.38,10.3,0.42099999999999993,3.9345794392523357,0,0,-0.0,0.0,100000.0,-0.020146520146520186,-0.015639374425023944,98436.0625574976,0.0,-0.24381625441696173
20250919,10.63,10.77,10.59,12.38,10.32,0.4219999999999999,3.969896519285041,0,0,-0.0,0.0,100000.0,-0.0065420560747662115,-0.022079116835327373,97792.08831646726,0.0,-0.2487632508833927
20250922,10.44,10.63,10.4,12.38,10.59,0.3789999999999999,3.6302681992337154,0,0,-0.0,0.0,100000.0,-0.01787394167450629,-0.039558417663294376,96044.15823367056,0.0,-0.2621908127208486
20250923,10.19,10.48,9.99,12.38,10.4,0.37449999999999994,3.6751717369970556,0,0,-0.0,0.0,100000.0,-0.023946360153256685,-0.06255749770009289,93744.2502299907,0.0,-0.2798586572438168
20250924,10.58,10.6,10.15,12.2,9.99,0.3614999999999998,3.416824196597352,0,0,0.0,0.0,100000.0,0.03827281648675185,-0.026678932842687075,97332.1067157313,0.0,-0.2522968197879863
20250925,10.47,10.65,10.43,11.75,9.99,0.33149999999999985,3.16618911174785,0,0,-0.0,0.0,100000.0,-0.010396975425330801,-0.0367985280588784,96320.14719411216,0.0,-0.2600706713780923
20250926,10.47,10.57,10.34,11.75,9.99,0.3089999999999999,2.951289398280801,0,0,0.0,0.0,100000.0,0.0,-0.0367985280588784,96320.14719411216,0.0,-0.2600706713780923
20250929,10.52,10.55,10.25,11.62,9.99,0.30999999999999994,2.9467680608365012,0,0,0.0,0.0,100000.0,0.0047755491881564804,-0.03219871205151881,96780.12879484812,0.0,-0.2565371024734987
20250930,10.62,10.65,10.48,11.4,9.99,0.29399999999999993,2.7683615819209035,0,0,0.0,0.0,100000.0,0.009505703422053147,-0.022999080036799513,97700.09199632004,0.0,-0.24946996466431157
20251009,10.51,10.76,10.42,11.22,9.99,0.2899999999999999,2.7592768791627016,0,0,-0.0,0.0,100000.0,-0.010357815442561202,-0.03311867525299084,96688.13247470092,0.0,-0.2572438162544175
20251010,10.69,10.73,10.45,11.11,9.99,0.275,2.572497661365763,0,0,0.0,0.0,100000.0,0.01712654614652709,-0.016559337626495974,98344.0662373504,0.0,-0.24452296819788047
20251013,10.61,10.62,10.05,11.11,9.99,0.2914999999999999,2.7474081055607913,0,0,-0.0,0.0,100000.0,-0.007483629560336769,-0.023919043238271542,97608.09567617284,0.0,-0.25017667844523034
20251014,10.55,10.72,10.47,11.11,9.99,0.29449999999999993,2.7914691943127954,0,0,-0.0,0.0,100000.0,-0.005655042412818001,-0.029438822447103052,97056.1177552897,0.0,-0.2544169611307426
20251015,11.0,11.02,10.51,11.11,9.99,0.30199999999999994,2.745454545454545,0,0,0.0,0.0,100000.0,0.04265402843601884,0.011959521619134161,101195.95216191342,0.0,-0.22261484098939993
20251016,10.76,11.24,10.69,11.11,10.05,0.31800000000000006,2.9553903345724915,0,0,-0.0,0.0,100000.0,-0.021818181818181848,-0.010119595216192434,98988.04047838076,0.0,-0.23957597173144937
20251017,10.64,10.88,10.6,11.24,10.05,0.3185000000000001,2.99342105263158,0,0,-0.0,0.0,100000.0,-0.011152416356877248,-0.021159153633855676,97884.08463661443,0.0,-0.24805653710247416
20251020,10.71,10.71,10.55,11.24,10.05,0.3155000000000001,2.945845004668535,0,0,0.0,0.0,100000.0,0.006578947368421018,-0.014719411223552137,98528.05887764478,0.0,-0.24310954063604306
20251021,10.9,10.9,10.64,11.24,10.05,0.31750000000000017,2.9128440366972495,0,0,0.0,0.0,100000.0,0.017740429505135324,0.002759889604414756,100275.98896044148,0.0,-0.22968197879858718
20251022,10.94,11.05,10.83,11.24,10.05,0.31250000000000017,2.8564899451553947,0,0,0.0,0.0,100000.0,0.003669724770642091,0.006439742410302429,100643.97424103024,0.0,-0.22685512367491237
20251023,11.06,11.06,10.84,11.24,10.05,0.3150000000000002,2.8481012658227867,0,0,0.0,0.0,100000.0,0.010968921389396868,0.017479300827965893,101747.93008279659,0.0,-0.21837455830388747
20251024,11.21,11.28,11.0,11.24,10.05,0.31300000000000017,2.7921498661909023,0,0,0.0,0.0,100000.0,0.013562386980108476,0.031278748850045,103127.8748850045,0.0,-0.20777385159010664
20251027,10.77,10.95,10.7,11.28,10.05,0.32950000000000024,3.0594243268338,0,0,-0.0,0.0,100000.0,-0.039250669045495234,-0.009199632014720516,99080.03679852794,0.0,-0.23886925795053074
20251028,10.74,10.95,10.71,11.28,10.47,0.3300000000000002,3.072625698324024,0,0,-0.0,0.0,100000.0,-0.0027855153203342198,-0.01195952161913627,98804.04783808638,0.0,-0.24098939929328678
20251029,10.51,10.78,10.38,11.28,10.51,0.32550000000000007,3.097050428163654,0,0,-0.0,0.0,100000.0,-0.02141527001862198,-0.03311867525299095,96688.1324747009,0.0,-0.2572438162544176
20251030,10.39,10.59,10.38,11.28,10.38,0.31350000000000006,3.0173243503368625,0,0,-0.0,0.0,100000.0,-0.011417697431018059,-0.04415823367065419,95584.17663293458,0.0,-0.26572438162544226
20251031,10.7,10.77,10.38,11.28,10.38,0.32199999999999995,3.009345794392523,0,0,0.0,0.0,100000.0,0.02983638113570719,-0.015639374425024277,98436.06255749757,0.0,-0.24381625441696195
20251103,10.93,10.95,10.64,11.28,10.38,0.3259999999999999,2.9826166514181143,0,0,0.0,0.0,100000.0,0.021495327102803774,0.0055197792088304,100551.97792088304,0.0,-0.22756183745583114
20251104,10.87,10.97,10.8,11.28,10.38,0.31949999999999984,2.9392824287028505,0,0,-0.0,0.0,100000.0,-0.005489478499542622,-1.3322676295501878e-15,99999.99999999987,0.0,-0.23180212014134358
20251105,10.84,10.92,10.74,11.28,10.38,0.31999999999999984,2.9520295202952016,0,0,-0.0,0.0,100000.0,-0.002759889604415755,-0.0027598896044170873,99724.01103955829,0.0,-0.23392226148409975
20251106,10.98,10.99,10.73,11.28,10.38,0.31599999999999984,2.8779599271402536,0,0,0.0,0.0,100000.0,0.012915129151291671,0.010119595216190325,101011.95952161904,0.0,-0.22402826855123734
20251107,10.86,11.16,10.82,11.28,10.38,0.3189999999999998,2.9373848987108637,0,0,-0.0,0.0,100000.0,-0.010928961748634003,-0.0009199632014730286,99908.0036798527,0.0,-0.23250883392226213
20251110,11.38,11.39,10.87,11.28,10.38,0.3134999999999999,2.7548330404217913,1,1,0.0,0.0,100000.0,0.047882136279926435,0.04691812327506795,104691.81232750679,0.0,-0.19575971731448827
20251111,11.53,11.8,11.2,11.39,10.38,0.33099999999999996,2.870771899392888,0,1,0.013181019332161537,0.013181019332161537,101318.10193321615,0.013181019332161537,0.06071757129714683,106071.75712971468,0.0,-0.18515901060070752
