date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250828,4.26,4.28,4.22,4.27,4.26,0.01,0.2347,1722934.95,172293495.0,732384.65,4.26,4.28,4.22,4.27,4.26,0.01,0.2347,1.0
20250829,4.26,4.31,4.25,4.25,4.27,-0.02,-0.4684,1761319.09,176131909.0,753212.586,4.26,4.31,4.25,4.25,4.27,-0.02,-0.4684,1.0
20250901,4.25,4.25,4.23,4.24,4.25,-0.01,-0.2353,1391723.07,139172307.0,589918.948,4.25,4.25,4.23,4.24,4.25,-0.01,-0.2353,1.0
20250902,4.24,4.26,4.23,4.26,4.24,0.02,0.4717,1448039.34,144803934.0,614532.671,4.24,4.26,4.23,4.26,4.24,0.02,0.4717,1.0
20250903,4.25,4.26,4.22,4.24,4.26,-0.02,-0.4695,1442358.79,144235879.0,610675.269,4.25,4.26,4.22,4.24,4.26,-0.02,-0.4695,1.0
20250904,4.23,4.25,4.21,4.24,4.24,0.0,0.0,1548208.74,154820874.0,654612.084,4.23,4.25,4.21,4.24,4.24,0.0,0.0,1.0
20250905,4.24,4.28,4.23,4.27,4.24,0.03,0.7075,1493595.29,149359529.0,634790.582,4.24,4.28,4.23,4.27,4.24,0.03,0.7075,1.0
20250908,4.27,4.35,4.26,4.34,4.27,0.07,1.6393,2857487.71,285748771.0,1234052.088,4.27,4.35,4.26,4.34,4.27,0.07,1.6393,1.0
20250909,4.34,4.35,4.31,4.32,4.34,-0.02,-0.4608,1468395.86,146839586.0,635359.607,4.34,4.35,4.31,4.32,4.34,-0.02,-0.4608,1.0
20250910,4.32,4.33,4.28,4.29,4.32,-0.03,-0.6944,1122318.22,112231822.0,482240.405,4.32,4.33,4.28,4.29,4.32,-0.03,-0.6944,1.0
20250911,4.29,4.31,4.27,4.31,4.29,0.02,0.4662,1304445.48,130444548.0,559879.352,4.29,4.31,4.27,4.31,4.29,0.02,0.4662,1.0
20250912,4.31,4.31,4.28,4.29,4.31,-0.02,-0.464,958769.3,95876930.0,411531.492,4.31,4.31,4.28,4.29,4.31,-0.02,-0.464,1.0
20250915,4.29,4.31,4.27,4.29,4.29,0.0,0.0,1212882.82,121288282.0,520323.237,4.29,4.31,4.27,4.29,4.29,0.0,0.0,1.0
20250916,4.29,4.3,4.26,4.28,4.29,-0.01,-0.2331,1190993.05,119099305.0,509126.403,4.29,4.3,4.26,4.28,4.29,-0.01,-0.2331,1.0
20250917,4.27,4.29,4.25,4.28,4.28,0.0,0.0,1011540.86,101154086.0,432340.008,4.27,4.29,4.25,4.28,4.28,0.0,0.0,1.0
20250918,4.29,4.31,4.25,4.28,4.28,0.0,0.0,1664832.18,166483218.0,713304.171,4.29,4.31,4.25,4.28,4.28,0.0,0.0,1.0
20250919,4.28,4.28,4.24,4.25,4.28,-0.03,-0.7009,1344401.86,134440186.0,572253.635,4.28,4.28,4.24,4.25,4.28,-0.03,-0.7009,1.0
20250922,4.24,4.26,4.24,4.25,4.25,0.0,0.0,917657.45,91765745.0,389913.712,4.24,4.26,4.24,4.25,4.25,0.0,0.0,1.0
20250923,4.25,4.28,4.22,4.26,4.25,0.01,0.2353,1714093.74,171409374.0,728227.867,4.25,4.28,4.22,4.26,4.25,0.01,0.2353,1.0
20250924,4.25,4.28,4.24,4.26,4.26,0.0,0.0,1054037.01,105403701.0,448638.525,4.25,4.28,4.24,4.26,4.26,0.0,0.0,1.0
20250925,4.25,4.26,4.23,4.24,4.26,-0.02,-0.4695,901956.26,90195626.0,382424.539,4.25,4.26,4.23,4.24,4.26,-0.02,-0.4695,1.0
20250926,4.23,4.29,4.23,4.28,4.24,0.04,0.9434,1628986.77,162898677.0,694674.461,4.23,4.29,4.23,4.28,4.24,0.04,0.9434,1.0
20250929,4.28,4.29,4.25,4.28,4.28,0.0,0.0,1251307.62,125130762.00000001,533626.248,4.28,4.29,4.25,4.28,4.28,0.0,0.0,1.0
