date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250812,105.4,106.43,104.7,105.67,105.52,0.15,0.1422,312195.04,31219503.999999996,3302639.096,105.4,106.43,104.7,105.67,105.52,0.15,0.1422,1.0
20250813,106.29,107.65,105.84,106.83,105.67,1.16,1.0978,459830.14,45983014.0,4908744.877,106.29,107.65,105.84,106.83,105.67,1.16,1.0978,1.0
20250814,107.37,107.5,105.79,106.37,106.83,-0.46,-0.4306,419547.93,41954793.0,4478119.017,107.37,107.5,105.79,106.37,106.83,-0.46,-0.4306,1.0
20250815,105.85,106.64,105.32,106.07,106.37,-0.3,-0.282,361353.46,36135346.0,3831047.052,105.85,106.64,105.32,106.07,106.37,-0.3,-0.282,1.0
20250818,105.66,109.49,105.66,108.37,106.07,2.3,2.1684,619251.73,61925173.0,6680761.816,105.66,109.49,105.66,108.37,106.07,2.3,2.1684,1.0
20250819,108.67,108.92,107.18,107.63,108.37,-0.74,-0.6828,389735.19,38973519.0,4205349.329,108.67,108.92,107.18,107.63,108.37,-0.74,-0.6828,1.0
20250820,107.18,108.26,106.01,108.25,107.63,0.62,0.576,385053.45,38505345.0,4130459.252,107.18,108.26,106.01,108.25,107.63,0.62,0.576,1.0
20250821,107.8,108.83,107.0,107.1,108.25,-1.15,-1.0624,449463.78,44946378.0,4843670.255,107.8,108.83,107.0,107.1,108.25,-1.15,-1.0624,1.0
20250822,107.11,110.97,107.11,110.66,107.1,3.56,3.324,763120.05,76312005.0,8351469.726,107.11,110.97,107.11,110.66,107.1,3.56,3.324,1.0
20250825,111.31,112.49,110.31,111.61,110.66,0.95,0.8585,611627.58,61162757.99999999,6803182.883,111.31,112.49,110.31,111.61,110.66,0.95,0.8585,1.0
20250826,111.75,114.69,110.71,113.75,111.61,2.14,1.9174,692915.85,69291585.0,7850511.029,111.75,114.69,110.71,113.75,111.61,2.14,1.9174,1.0
20250827,113.96,114.06,110.66,110.68,113.75,-3.07,-2.6989,689746.93,68974693.0,7761766.931,113.96,114.06,110.66,110.68,113.75,-3.07,-2.6989,1.0
20250828,109.39,110.19,107.11,109.32,110.68,-1.36,-1.2288,762521.99,76252199.0,8278465.956,109.39,110.19,107.11,109.32,110.68,-1.36,-1.2288,1.0
20250829,108.88,116.59,108.12,114.06,109.32,4.74,4.3359,1144901.94,114490194.0,12973326.091,108.88,116.59,108.12,114.06,109.32,4.74,4.3359,1.0
20250901,108.5,111.48,108.5,109.7,114.06,-4.36,-3.8225,1329867.38,132986737.99999999,14546890.247,108.5,111.48,108.5,109.7,114.06,-4.36,-3.8225,1.0
20250902,108.79,111.1,108.6,110.02,109.7,0.32,0.2917,773224.1,77322410.0,8495472.755,108.79,111.1,108.6,110.02,109.7,0.32,0.2917,1.0
20250903,110.5,110.73,107.01,107.21,110.02,-2.81,-2.5541,735223.27,73522327.0,7975948.716,110.5,110.73,107.01,107.21,110.02,-2.81,-2.5541,1.0
20250904,106.59,107.09,103.71,104.0,107.21,-3.21,-2.9941,815740.74,81574074.0,8588835.881,106.59,107.09,103.71,104.0,107.21,-3.21,-2.9941,1.0
20250905,103.86,107.5,103.11,107.26,104.0,3.26,3.1346,787523.85,78752385.0,8307907.948,103.86,107.5,103.11,107.26,104.0,3.26,3.1346,1.0
