date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20251027,10.95,10.95,10.7,10.77,11.21,-0.44,-3.9251,102248.0,10224800.0,110584.559,10.95,10.95,10.7,10.77,11.21,-0.44,-3.9251,1.214
20251028,10.75,10.95,10.71,10.74,10.77,-0.03,-0.2786,56033.03,5603303.0,60588.895,10.75,10.95,10.71,10.74,10.77,-0.03,-0.2786,1.214
20251029,10.75,10.78,10.38,10.51,10.74,-0.23,-2.1415,80148.0,8014800.0,84407.774,10.75,10.78,10.38,10.51,10.74,-0.23,-2.1415,1.214
20251030,10.52,10.59,10.38,10.39,10.51,-0.12,-1.1418,50687.0,5068700.0,53091.287,10.52,10.59,10.38,10.39,10.51,-0.12,-1.1418,1.214
20251031,10.39,10.77,10.38,10.7,10.39,0.31,2.9836,65839.54,6583953.999999999,69934.099,10.39,10.77,10.38,10.7,10.39,0.31,2.9836,1.214
20251103,10.7,10.95,10.64,10.93,10.7,0.23,2.1495,68184.0,6818400.0,74074.123,10.7,10.95,10.64,10.93,10.7,0.23,2.1495,1.214
20251104,10.92,10.97,10.8,10.87,10.93,-0.06,-0.5489,38133.0,3813300.0,41474.321,10.92,10.97,10.8,10.87,10.93,-0.06,-0.5489,1.214
20251105,10.87,10.92,10.74,10.84,10.87,-0.03,-0.276,40514.0,4051400.0,43861.536,10.87,10.92,10.74,10.84,10.87,-0.03,-0.276,1.214
20251106,10.84,10.99,10.73,10.98,10.84,0.14,1.2915,48580.69,4858069.0,52774.945,10.84,10.99,10.73,10.98,10.84,0.14,1.2915,1.214
20251107,10.96,11.16,10.82,10.86,10.98,-0.12,-1.0929,57702.01,5770201.0,63145.682,10.96,11.16,10.82,10.86,10.98,-0.12,-1.0929,1.214
20251110,10.89,11.39,10.87,11.38,10.86,0.52,4.7882,120092.63,12009263.0,134456.988,10.89,11.39,10.87,11.38,10.86,0.52,4.7882,1.214
20251111,11.38,11.8,11.2,11.53,11.38,0.15,1.3181,128900.21,12890021.0,148738.517,11.38,11.8,11.2,11.53,11.38,0.15,1.3181,1.214
20251112,11.59,11.68,11.35,11.5,11.53,-0.03,-0.2602,67917.0,6791700.0,78069.89,11.59,11.68,11.35,11.5,11.53,-0.03,-0.2602,1.214
20251113,11.49,11.75,11.4,11.64,11.5,0.14,1.2174,69762.21,6976221.000000001,80780.062,11.49,11.75,11.4,11.64,11.5,0.14,1.2174,1.214
20251114,11.55,11.76,11.52,11.54,11.64,-0.1,-0.8591,61123.2,6112320.0,71189.417,11.55,11.76,11.52,11.54,11.64,-0.1,-0.8591,1.214
20251117,11.74,11.98,11.56,11.74,11.54,0.2,1.7331,81009.0,8100900.0,95003.975,11.74,11.98,11.56,11.74,11.54,0.2,1.7331,1.214
20251118,11.8,11.86,11.41,11.48,11.74,-0.26,-2.2147,57566.0,5756600.0,66458.68,11.8,11.86,11.41,11.48,11.74,-0.26,-2.2147,1.214
20251119,11.48,11.67,11.25,11.27,11.48,-0.21,-1.8293,58297.82,5829782.0,66391.666,11.48,11.67,11.25,11.27,11.48,-0.21,-1.8293,1.214
20251120,11.36,11.43,11.13,11.25,11.27,-0.02,-0.1775,38020.01,3802001.0,42729.938,11.36,11.43,11.13,11.25,11.27,-0.02,-0.1775,1.214
20251121,11.15,11.39,10.65,10.67,11.25,-0.58,-5.1556,61588.83,6158883.0,67223.357,11.15,11.39,10.65,10.67,11.25,-0.58,-5.1556,1.214
20251124,10.72,10.95,10.62,10.74,10.67,0.07,0.656,53122.0,5312200.0,57258.41,10.72,10.95,10.62,10.74,10.67,0.07,0.656,1.214
20251125,10.8,11.23,10.8,11.13,10.74,0.39,3.6313,54235.0,5423500.0,60175.608,10.8,11.23,10.8,11.13,10.74,0.39,3.6313,1.214
20251126,11.13,11.3,10.93,10.95,11.13,-0.18,-1.6173,57522.01,5752201.0,63939.154,11.13,11.3,10.93,10.95,11.13,-0.18,-1.6173,1.214
20251127,10.95,11.11,10.81,10.83,10.95,-0.12,-1.0959,37026.0,3702600.0,40445.856,10.95,11.11,10.81,10.83,10.95,-0.12,-1.0959,1.214
20251128,10.81,11.0,10.72,11.0,10.83,0.17,1.5697,36476.0,3647600.0,39596.063,10.81,11.0,10.72,11.0,10.83,0.17,1.5697,1.214
20251201,11.0,11.07,10.88,10.92,11.0,-0.08,-0.7273,43783.0,4378300.0,48006.389,11.0,11.07,10.88,10.92,11.0,-0.08,-0.7273,1.214
20251202,10.92,10.92,10.66,10.77,10.92,-0.15,-1.3736,40403.0,4040300.0,43535.303,10.92,10.92,10.66,10.77,10.92,-0.15,-1.3736,1.214
20251203,10.78,10.87,10.58,10.64,10.77,-0.13,-1.2071,44495.0,4449500.0,47632.489,10.78,10.87,10.58,10.64,10.77,-0.13,-1.2071,1.214
20251204,10.61,10.64,10.3,10.34,10.64,-0.3,-2.8195,43584.01,4358401.0,45396.96,10.61,10.64,10.3,10.34,10.64,-0.3,-2.8195,1.214
20251205,10.34,10.44,10.24,10.36,10.34,0.02,0.1934,29146.0,2914600.0,30152.545,10.34,10.44,10.24,10.36,10.34,0.02,0.1934,1.214
20251208,10.36,10.49,10.35,10.47,10.36,0.11,1.0618,29338.02,2933802.0,30591.182,10.36,10.49,10.35,10.47,10.36,0.11,1.0618,1.214
20251209,10.43,10.51,10.31,10.36,10.47,-0.11,-1.0506,26128.01,2612801.0,27211.382,10.43,10.51,10.31,10.36,10.47,-0.11,-1.0506,1.214
20251210,10.35,10.71,10.27,10.71,10.36,0.35,3.3784,60653.01,6065301.0,63698.226,10.35,10.71,10.27,10.71,10.36,0.35,3.3784,1.214
20251211,10.71,10.84,10.26,10.28,10.71,-0.43,-4.0149,75628.01,7562800.999999999,79302.038,10.71,10.84,10.26,10.28,10.71,-0.43,-4.0149,1.214
